segmento,setor,subsetor,ticker
Seguradoras,Financeiro,Previdência e Seguros,BBSE3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,BDLL3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,BDLL4
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,BEEF3
Bancos,Financeiro,Intermediários Financeiros,BEES3
Bancos,Financeiro,Intermediários Financeiros,BEES4
Bancos,Financeiro,Intermediários Financeiros,BGIP3
Bancos,Financeiro,Intermediários Financeiros,BGIP4
Bancos,Financeiro,Intermediários Financeiros,BIDI11
Bancos,Financeiro,Intermediários Financeiros,BIDI3
Bancos,Financeiro,Intermediários Financeiros,BIDI4
Medicamentos e Outros Produtos,Saúde,Medicamentos e Outros Produtos,BIOM3
Restaurante e Similares,Consumo Cíclico,Hoteis e Restaurantes,BKBR3
Bancos,Financeiro,Intermediários Financeiros,BMEB3
Bancos,Financeiro,Intermediários Financeiros,BMEB4
Bancos,Financeiro,Intermediários Financeiros,BMGB4
Bancos,Financeiro,Intermediários Financeiros,BMIN3
Bancos,Financeiro,Intermediários Financeiros,BMIN4
Bicicletas,Consumo Cíclico,Viagens e Lazer,BMKS3
Bancos,Financeiro,Intermediários Financeiros,BNBR3
Produtos de Limpeza,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,BOBR3
Produtos de Limpeza,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,BOBR4
Bancos,Financeiro,Intermediários Financeiros,BPAC11
Bancos,Financeiro,Intermediários Financeiros,BPAC3
Bancos,Financeiro,Intermediários Financeiros,BPAC5
Bancos,Financeiro,Intermediários Financeiros,BPAN4
Minerais Metálicos,Materiais Básicos,Mineração,BRAP3
Minerais Metálicos,Materiais Básicos,Mineração,BRAP4
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",BRDT3
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,BRFS3
Seguradoras,Financeiro,Previdência e Seguros,BRGE11
Seguradoras,Financeiro,Previdência e Seguros,BRGE12
Seguradoras,Financeiro,Previdência e Seguros,BRGE3
Seguradoras,Financeiro,Previdência e Seguros,BRGE5
Seguradoras,Financeiro,Previdência e Seguros,BRGE6
Seguradoras,Financeiro,Previdência e Seguros,BRGE8
Bancos,Financeiro,Intermediários Financeiros,BRIV3
Bancos,Financeiro,Intermediários Financeiros,BRIV4
Petroquímicos,Materiais Básicos,Químicos,BRKM3
Petroquímicos,Materiais Básicos,Químicos,BRKM5
Petroquímicos,Materiais Básicos,Químicos,BRKM6
Exploração de Imóveis,Financeiro,Exploração de Imóveis,BRML3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,BRPR3
Bancos,Financeiro,Intermediários Financeiros,BRSR3
Bancos,Financeiro,Intermediários Financeiros,BRSR5
Bancos,Financeiro,Intermediários Financeiros,BRSR6
Açucar e Alcool,Consumo não Cíclico,Alimentos Processados,BSEV3
Bancos,Financeiro,Intermediários Financeiros,BSLI3
Produtos Diversos,Consumo Cíclico,Comércio,BTOW3
Material de Transporte,Bens Industriais,Comércio,BTTL3
Incorporações,Consumo Cíclico,Construção Civil,CALI4
Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CAMB3
Alimentos Diversos,Consumo não Cíclico,Alimentos Processados,CAML3
Serviços Diversos,Bens Industriais,Serviços Diversos,CARD3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CBEE3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,CCPR3
Exploração de Rodovias,Bens Industriais,Transporte,CCRO3
,,,CCXC3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,CEAB3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEBR3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEBR5
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEBR6
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CEDO3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CEDO4
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEEB3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEED3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEED4
Gás,Utilidade Pública,Gás,CEGR3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CEPE5
Energia Elétrica,Utilidade Pública,Energia Elétrica,CESP3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CESP5
Energia Elétrica,Utilidade Pública,Energia Elétrica,CESP6
Gás,Utilidade Pública,Gás,CGAS3
Gás,Utilidade Pública,Gás,CGAS5
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,CGRA3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,CGRA4
Serviços Financeiros Diversos,Financeiro,Serviços Financeiros Diversos,CIEL3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CLSC3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CLSC4
Energia Elétrica,Utilidade Pública,Energia Elétrica,CMIG3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CMIG4
Produtos Diversos,Consumo Cíclico,Comércio,CNTO3
Energia Elétrica,Utilidade Pública,Energia Elétrica,COCE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,COCE5
Serviços Educacionais,Consumo Cíclico,Diversos,COGN3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CPFE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CPLE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CPLE6
Energia Elétrica,Utilidade Pública,Energia Elétrica,CPRE3
Incorporações,Consumo Cíclico,Construção Civil,CRDE3
Alimentos,Consumo não Cíclico,Comércio e Distribuição,CRFB3
Soc. Crédito e Financiamento,Financeiro,Intermediários Financeiros,CRIV3
Soc. Crédito e Financiamento,Financeiro,Intermediários Financeiros,CRIV4
Químicos Diversos,Materiais Básicos,Químicos,CRPG3
Químicos Diversos,Materiais Básicos,Químicos,CRPG5
Químicos Diversos,Materiais Básicos,Químicos,CRPG6
Seguradoras,Financeiro,Previdência e Seguros,CSAB3
Seguradoras,Financeiro,Previdência e Seguros,CSAB4
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",CSAN3
Água e Saneamento,Utilidade Pública,Água e Saneamento,CSMG3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,CSNA3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CSRN3
Energia Elétrica,Utilidade Pública,Energia Elétrica,CSRN5
Energia Elétrica,Utilidade Pública,Energia Elétrica,CSRN6
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTKA3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTKA4
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTNM3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTNM4
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTSA3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",CTSA4
Viagens e Turismo,Consumo Cíclico,Viagens e Lazer,CVCB3
Incorporações,Consumo Cíclico,Construção Civil,CYRE3
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,DASA3
Incorporações,Consumo Cíclico,Construção Civil,DIRR3
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",DMMO3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",DOHL3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",DOHL4
Serviços Diversos,Bens Industriais,Serviços Diversos,DTCY3
Madeira,Materiais Básicos,Madeira e Papel,DTEX3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,EALT3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,EALT4
Exploração de Rodovias,Bens Industriais,Transporte,ECOR3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",ECPR3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",ECPR4
Energia Elétrica,Utilidade Pública,Energia Elétrica,EGIE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,EKTR3
Energia Elétrica,Utilidade Pública,Energia Elétrica,EKTR4
Petroquímicos,Materiais Básicos,Químicos,ELEK3
Petroquímicos,Materiais Básicos,Químicos,ELEK4
Energia Elétrica,Utilidade Pública,Energia Elétrica,ELET3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ELET5
Energia Elétrica,Utilidade Pública,Energia Elétrica,ELET6
Energia Elétrica,Utilidade Pública,Energia Elétrica,EMAE4
Material Aeronáutico e de Defesa,Bens Industriais,Material de Transporte,EMBR3
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ENAT3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENBR3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENEV3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENGI11
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENGI3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENGI4
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENMT3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ENMT4
Energia Elétrica,Utilidade Pública,Energia Elétrica,EQPA3
Energia Elétrica,Utilidade Pública,Energia Elétrica,EQPA5
Energia Elétrica,Utilidade Pública,Energia Elétrica,EQPA7
Energia Elétrica,Utilidade Pública,Energia Elétrica,EQTL3
Brinquedos e Jogos,Consumo Cíclico,Viagens e Lazer,ESTR4
Produtos para Construção,Bens Industriais,Construção e Engenharia,ETER3
Madeira,Materiais Básicos,Madeira e Papel,EUCA3
Madeira,Materiais Básicos,Madeira e Papel,EUCA4
Incorporações,Consumo Cíclico,Construção Civil,EVEN3
Incorporações,Consumo Cíclico,Construção Civil,EZTC3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,FESA3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,FESA4
Fertilizantes e Defensivos,Materiais Básicos,Químicos,FHER3
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,FLRY3
Material Rodoviário,Bens Industriais,Material de Transporte,FRAS3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,FRIO3
Agricultura,Consumo não Cíclico,Agropecuária,FRTA3
Medicamentos e Outros Produtos,Saúde,Medicamentos e Outros Produtos,GBIO33
Energia Elétrica,Utilidade Pública,Energia Elétrica,GEPA3
Energia Elétrica,Utilidade Pública,Energia Elétrica,GEPA4
Incorporações,Consumo Cíclico,Construção Civil,GFSA3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,GGBR3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,GGBR4
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,GNDI3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,GOAU3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,GOAU4
Transporte Aéreo,Bens Industriais,Transporte,GOLL4
Petroquímicos,Materiais Básicos,Químicos,GPCP3
Gestão de Recursos e Investimentos,Financeiro,Serviços Financeiros Diversos,GPIV33
Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",GRND3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,GSHP3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,GUAR3
Produtos para Construção,Bens Industriais,Construção e Engenharia,HAGA3
Produtos para Construção,Bens Industriais,Construção e Engenharia,HAGA4
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,HAPV3
Incorporações,Consumo Cíclico,Construção Civil,HBOR3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,HBTS5
Utensílios Domésticos,Consumo Cíclico,Utilidades Domésticas,HETA4
Vestuário,Consumo Cíclico,"Tecidos, Vestuário e Calçados",HGTX3
Hotelaria,Consumo Cíclico,Hoteis e Restaurantes,HOOT4
Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,HYPE3
Gestão de Recursos e Investimentos,Financeiro,Serviços Financeiros Diversos,IDNT3
Bancos,Financeiro,Intermediários Financeiros,IDVL3
Bancos,Financeiro,Intermediários Financeiros,IDVL4
Exploração de Imóveis,Financeiro,Exploração de Imóveis,IGBR3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,IGTA3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,INEP3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,INEP4
Seguradoras,Financeiro,Previdência e Seguros,IRBR3
Bancos,Financeiro,Intermediários Financeiros,ITSA3
Bancos,Financeiro,Intermediários Financeiros,ITSA4
Bancos,Financeiro,Intermediários Financeiros,ITUB3
Bancos,Financeiro,Intermediários Financeiros,ITUB4
Outros,Outros,Outros,JBDU3
Outros,Outros,Outros,JBDU4
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,JBSS3
Incorporações,Consumo Cíclico,Construção Civil,JFEN3
Incorporações,Consumo Cíclico,Construção Civil,JHSF3
Alimentos Diversos,Consumo não Cíclico,Alimentos Processados,JOPA3
Alimentos Diversos,Consumo não Cíclico,Alimentos Processados,JOPA4
Exploração de Imóveis,Financeiro,Exploração de Imóveis,JPSA3
Transporte Rodoviário,Bens Industriais,Transporte,JSLG3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,KEPL3
Papel e Celulose,Materiais Básicos,Madeira e Papel,KLBN11
Papel e Celulose,Materiais Básicos,Madeira e Papel,KLBN3
Papel e Celulose,Materiais Básicos,Madeira e Papel,KLBN4
Produtos Diversos,Consumo Cíclico,Comércio,LAME3
Produtos Diversos,Consumo Cíclico,Comércio,LAME4
Aluguel de carros,Consumo Cíclico,Diversos,LCAM3
Automóveis e Motocicletas,Consumo Cíclico,Automóveis e Motocicletas,LEVE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,LIGT3
Programas e Serviços,Tecnologia da Informação,Programas e Serviços,LINX3
Energia Elétrica,Utilidade Pública,Energia Elétrica,LIPR3
Serviços Diversos,Bens Industriais,Serviços Diversos,LIQO3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,LLIS3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,LOGG3
Transporte Hidroviário,Bens Industriais,Transporte,LOGN3
Intermediação Imobiliária,Financeiro,Exploração de Imóveis,LPSB3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,LREN3
Equipamentos e Serviços,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",LUPA3
Transporte Hidroviário,Bens Industriais,Transporte,LUXM4
Programas e Serviços,Tecnologia da Informação,Programas e Serviços,LWSA3
Outros,Outros,Outros,MAPT4
Alimentos Diversos,Consumo não Cíclico,Alimentos Processados,MDIA3
Incorporações,Consumo Cíclico,Construção Civil,MDNE3
Restaurante e Similares,Consumo Cíclico,Hoteis e Restaurantes,MEAL3
,,,MEND5
,,,MEND6
Soc. Crédito e Financiamento,Financeiro,Intermediários Financeiros,MERC4
Artefatos de Ferro e Aço,Materiais Básicos,Siderurgia e Metalurgia,MGEL4
Eletrodomésticos,Consumo Cíclico,Comércio,MGLU3
Serviços Diversos,Bens Industriais,Construção e Engenharia,MILS3
Minerais Metálicos,Materiais Básicos,Mineração,MMXM3
Acessórios,Consumo Cíclico,"Tecidos, Vestuário e Calçados",MNDL3
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,MNPR3
Holdings Diversificadas,Financeiro,Holdings Diversificadas,MOAR3
Aluguel de carros,Consumo Cíclico,Diversos,MOVI3
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,MRFG3
Incorporações,Consumo Cíclico,Construção Civil,MRVE3
Embalagens,Materiais Básicos,Embalagens,MTIG4
Incorporações,Consumo Cíclico,Construção Civil,MTRE3
Máq. e Equip. Construção e Agrícolas,Bens Industriais,Máquinas e Equipamentos,MTSA4
Exploração de Imóveis,Financeiro,Exploração de Imóveis,MULT3
Material Rodoviário,Bens Industriais,Material de Transporte,MWET4
Automóveis e Motocicletas,Consumo Cíclico,Automóveis e Motocicletas,MYPK3
Utensílios Domésticos,Consumo Cíclico,Utilidades Domésticas,NAFG3
Utensílios Domésticos,Consumo Cíclico,Utilidades Domésticas,NAFG4
Energia Elétrica,Utilidade Pública,Energia Elétrica,NEOE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,NEOE3
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,NORD3
Produtos de Uso Pessoal,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,NTCO3
Fertilizantes e Defensivos,Materiais Básicos,Químicos,NUTR3
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,ODPV3
Medicamentos e Outros Produtos,Saúde,Medicamentos e Outros Produtos,OFSA3
Telecomunicações,Comunicações,Telecomunicações,OIBR3
Telecomunicações,Comunicações,Telecomunicações,OIBR4
Energia Elétrica,Utilidade Pública,Energia Elétrica,OMGE3
Equipamentos e Serviços,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OSXB3
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,PARD3
Artefatos de Ferro e Aço,Materiais Básicos,Siderurgia e Metalurgia,PATI3
Artefatos de Ferro e Aço,Materiais Básicos,Siderurgia e Metalurgia,PATI4
Alimentos,Consumo não Cíclico,Comércio e Distribuição,PCAR3
Alimentos,Consumo não Cíclico,Comércio e Distribuição,PCAR4
Incorporações,Consumo Cíclico,Construção Civil,PDGR3
Holdings Diversificadas,Financeiro,Holdings Diversificadas,PEAB3
Holdings Diversificadas,Financeiro,Holdings Diversificadas,PEAB4
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETR3
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETR4
Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,PFRM3
Bancos,Financeiro,Intermediários Financeiros,PINE4
Automóveis e Motocicletas,Consumo Cíclico,Automóveis e Motocicletas,PLAS3
Artefatos de Cobre,Materiais Básicos,Siderurgia e Metalurgia,PMAM3
Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,PNVL3
Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,PNVL4
Material Rodoviário,Bens Industriais,Material de Transporte,POMO3
Material Rodoviário,Bens Industriais,Material de Transporte,POMO4
Computadores e Equipamentos,Tecnologia da Informação,Computadores e Equipamentos,POSI3
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PRIO3
Serviços Diversos,Bens Industriais,Serviços Diversos,PRNR3
Seguradoras,Financeiro,Previdência e Seguros,PSSA3
Produtos para Construção,Bens Industriais,Construção e Engenharia,PTBL3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",PTNT3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",PTNT4
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,QUAL3
Medicamentos e Outros Produtos,Saúde,Comércio e Distribuição,RADL3
Transporte Ferroviário,Bens Industriais,Transporte,RAIL3
Papel e Celulose,Materiais Básicos,Madeira e Papel,RANI3
Papel e Celulose,Materiais Básicos,Madeira e Papel,RANI4
Material Rodoviário,Bens Industriais,Material de Transporte,RAPT3
Material Rodoviário,Bens Industriais,Material de Transporte,RAPT4
Material Rodoviário,Bens Industriais,Material de Transporte,RCSL4
Incorporações,Consumo Cíclico,Construção Civil,RDNI3
Energia Elétrica,Utilidade Pública,Energia Elétrica,REDE3
Aluguel de carros,Consumo Cíclico,Diversos,RENT3
Transporte Ferroviário,Bens Industriais,Transporte,RLOG3
Energia Elétrica,Utilidade Pública,Energia Elétrica,RNEW11
Energia Elétrica,Utilidade Pública,Energia Elétrica,RNEW3
Energia Elétrica,Utilidade Pública,Energia Elétrica,RNEW4
Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,ROMI3
Bancos,Financeiro,Intermediários Financeiros,RPAD3
Bancos,Financeiro,Intermediários Financeiros,RPAD5
Bancos,Financeiro,Intermediários Financeiros,RPAD6
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",RPMG3
Incorporações,Consumo Cíclico,Construção Civil,RSID3
Material Rodoviário,Bens Industriais,Material de Transporte,RSUL4
Bancos,Financeiro,Intermediários Financeiros,SANB11
Bancos,Financeiro,Intermediários Financeiros,SANB3
Bancos,Financeiro,Intermediários Financeiros,SANB4
Água e Saneamento,Utilidade Pública,Água e Saneamento,SAPR11
Água e Saneamento,Utilidade Pública,Água e Saneamento,SAPR3
Água e Saneamento,Utilidade Pública,Água e Saneamento,SAPR4
Água e Saneamento,Utilidade Pública,Água e Saneamento,SBSP3
Exploração de Imóveis,Financeiro,Exploração de Imóveis,SCAR3
Serviços Educacionais,Consumo Cíclico,Diversos,SEER3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",SGPS3
Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,SHOW3
"Motores, Compressores e Outros",Bens Industriais,Máquinas e Equipamentos,SHUL4
Agricultura,Consumo não Cíclico,Agropecuária,SLCE3
Produtos Diversos,Consumo Cíclico,Comércio,SLED3
Produtos Diversos,Consumo Cíclico,Comércio,SLED4
Programas de Fidelização,Consumo Cíclico,Diversos,SMLS3
Açucar e Alcool,Consumo não Cíclico,Alimentos Processados,SMTO3
Engenharia Consultiva,Bens Industriais,Construção e Engenharia,SOND5
Engenharia Consultiva,Bens Industriais,Construção e Engenharia,SOND6
Holdings Diversificadas,Financeiro,Holdings Diversificadas,SPRI3
Holdings Diversificadas,Financeiro,Holdings Diversificadas,SPRI5
Holdings Diversificadas,Financeiro,Holdings Diversificadas,SPRI6
Programas e Serviços,Tecnologia da Informação,Programas e Serviços,SQIA3
Serviços de Apoio e Armazenagem,Bens Industriais,Transporte,STBP3
Seguradoras,Financeiro,Previdência e Seguros,SULA11
Seguradoras,Financeiro,Previdência e Seguros,SULA3
Seguradoras,Financeiro,Previdência e Seguros,SULA4
Papel e Celulose,Materiais Básicos,Madeira e Papel,SUZB3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TAEE11
Energia Elétrica,Utilidade Pública,Energia Elétrica,TAEE3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TAEE4
Armas e Munições,Bens Industriais,Máquinas e Equipamentos,TASA3
Armas e Munições,Bens Industriais,Máquinas e Equipamentos,TASA4
Engenharia Consultiva,Bens Industriais,Construção e Engenharia,TCNO3
Engenharia Consultiva,Bens Industriais,Construção e Engenharia,TCNO4
Incorporações,Consumo Cíclico,Construção Civil,TCSA3
Acessórios,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TECN3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TEKA3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TEKA4
Telecomunicações,Comunicações,Telecomunicações,TELB3
Telecomunicações,Comunicações,Telecomunicações,TELB4
Incorporações,Consumo Cíclico,Construção Civil,TEND3
Agricultura,Consumo não Cíclico,Agropecuária,TESA3
Transporte Rodoviário,Bens Industriais,Transporte,TGMA3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TIET11
Energia Elétrica,Utilidade Pública,Energia Elétrica,TIET3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TIET4
Telecomunicações,Comunicações,Telecomunicações,TIMP3
Artefatos de Ferro e Aço,Materiais Básicos,Siderurgia e Metalurgia,TKNO4
Programas e Serviços,Tecnologia da Informação,Programas e Serviços,TOTS3
Exploração de Rodovias,Bens Industriais,Transporte,TPIS3
Incorporações,Consumo Cíclico,Construção Civil,TRIS3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TRPL3
Energia Elétrica,Utilidade Pública,Energia Elétrica,TRPL4
Material Rodoviário,Bens Industriais,Material de Transporte,TUPY3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TXRX3
Fios e Tecidos,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TXRX4
Móveis,Consumo Cíclico,Utilidades Domésticas,UCAS3
"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",UGPA3
Químicos Diversos,Materiais Básicos,Químicos,UNIP3
Químicos Diversos,Materiais Básicos,Químicos,UNIP5
Químicos Diversos,Materiais Básicos,Químicos,UNIP6
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,USIM3
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,USIM5
Siderurgia,Materiais Básicos,Siderurgia e Metalurgia,USIM6
Minerais Metálicos,Materiais Básicos,Mineração,VALE3
Acessórios,Consumo Cíclico,"Tecidos, Vestuário e Calçados",VIVA3
Incorporações,Consumo Cíclico,Construção Civil,VIVR3
Telecomunicações,Comunicações,Telecomunicações,VIVT3
Telecomunicações,Comunicações,Telecomunicações,VIVT4
Serviços Diversos,Bens Industriais,Serviços Diversos,VLID3
Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",VULC3
Eletrodomésticos,Consumo Cíclico,Comércio,VVAR3
"Motores, Compressores e Outros",Bens Industriais,Máquinas e Equipamentos,WEGE3
Eletrodomésticos,Consumo Cíclico,Utilidades Domésticas,WHRL3
